vecationDays,salaryPM,benefits_package,pId
20.5,3010.00,Benefitspackage6,6
21.0,3020.00,Benefitspackage9,9
21.5,3030.00,Benefitspackage12,12
22.0,3040.00,Benefitspackage15,15
20.0,3050.00,Benefitspackage18,18
20.5,3060.00,Benefitspackage21,21
21.0,3070.00,Benefitspackage24,24
21.5,3080.00,Benefitspackage27,27
22.0,3090.00,Benefitspackage30,30
20.0,3100.00,Benefitspackage33,33
20.5,3110.00,Benefitspackage36,36
21.0,3120.00,Benefitspackage39,39
21.5,3130.00,Benefitspackage42,42
22.0,3140.00,Benefitspackage45,45
20.0,3150.00,Benefitspackage48,48
20.5,3160.00,Benefitspackage51,51
21.0,3170.00,Benefitspackage54,54
21.5,3180.00,Benefitspackage57,57
22.0,3190.00,Benefitspackage60,60
20.0,3200.00,Benefitspackage63,63
20.5,3210.00,Benefitspackage66,66
21.0,3220.00,Benefitspackage69,69
21.5,3230.00,Benefitspackage72,72
22.0,3240.00,Benefitspackage75,75
20.0,3250.00,Benefitspackage78,78
20.5,3260.00,Benefitspackage81,81
21.0,3270.00,Benefitspackage84,84
21.5,3280.00,Benefitspackage87,87
22.0,3290.00,Benefitspackage90,90
20.0,3300.00,Benefitspackage93,93
20.5,3310.00,Benefitspackage96,96
21.0,3320.00,Benefitspackage99,99
21.5,3330.00,Benefitspackage102,102
22.0,3340.00,Benefitspackage105,105
20.0,3350.00,Benefitspackage108,108
20.5,3360.00,Benefitspackage111,111
21.0,3370.00,Benefitspackage114,114
21.5,3380.00,Benefitspackage117,117
22.0,3390.00,Benefitspackage120,120
20.0,3400.00,Benefitspackage123,123
20.5,3410.00,Benefitspackage126,126
21.0,3420.00,Benefitspackage129,129
21.5,3430.00,Benefitspackage132,132
22.0,3440.00,Benefitspackage135,135
20.0,3450.00,Benefitspackage138,138
20.5,3460.00,Benefitspackage141,141
21.0,3470.00,Benefitspackage144,144
21.5,3480.00,Benefitspackage147,147
22.0,3490.00,Benefitspackage150,150
20.0,3500.00,Benefitspackage153,153
20.5,3510.00,Benefitspackage156,156
21.0,3520.00,Benefitspackage159,159
21.5,3530.00,Benefitspackage162,162
22.0,3540.00,Benefitspackage165,165
20.0,3550.00,Benefitspackage168,168
20.5,3560.00,Benefitspackage171,171
21.0,3570.00,Benefitspackage174,174
21.5,3580.00,Benefitspackage177,177
22.0,3590.00,Benefitspackage180,180
20.0,3600.00,Benefitspackage183,183
